"Total/ms","Delta/ms","Step"
"0.717","0.717","Engine SetObjectToken start"
"113.483","112.766","Engine SetObjectToken end"
"228.15","114.667","Engine output format set, target: (null), final: PCM 16 kHz 16 bits Mono"
"229.66","1.5098","Engine output format set, target: (null), final: PCM 16 kHz 16 bits Mono"
"230.166","0.5064","Client Speak start"
"230.583","0.4162","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"1159.07","928.483","Client StartStream event"
"1159.28","0.2158","Engine Speak start"
"1177.6","18.3222","Engine audio data written, 110.50 ms / 3536 bytes silence skipped"
"1804.8","627.197","Engine Speak end"
"2327.09","522.284","Client EndStream event"
"2365.75","38.6603","Client Speak end"
"2365.91","0.1634","Client Speak start"
"2366.45","0.5457","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"2482.35","115.898","Client StartStream event"
"2482.5","0.1479","Engine Speak start"
"2488.81","6.3101","Engine audio data written, 105.00 ms / 3360 bytes silence skipped"
"3002.39","513.575","Engine Speak end"
"3513.66","511.278","Client EndStream event"
"3535.33","21.6643","Client Speak end"
"3535.47","0.1427","Client Speak start"
"3535.88","0.4063","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"3651.51","115.63","Client StartStream event"
"3651.71","0.2058","Engine Speak start"
"3657.77","6.0582","Engine audio data written, 127.56 ms / 4082 bytes silence skipped"
"4271.95","614.177","Engine Speak end"
"4781.6","509.653","Client EndStream event"
"4802.32","20.7165","Client Speak end"
"4802.55","0.2289","Client Speak start"
"4803.01","0.4653","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"4919.81","116.798","Client StartStream event"
"4920.16","0.3521","Engine Speak start"
"4927.78","7.6234","Engine audio data written, 113.44 ms / 3630 bytes silence skipped"
"5591.81","664.029","Engine Speak end"
"6093.06","501.248","Client EndStream event"
"6117.07","24.0129","Client Speak end"
"6117.23","0.1557","Client Speak start"
"6117.7","0.4715","Engine output format set, target: PCM 16 kHz 16 bits Mono, final: PCM 16 kHz 16 bits Mono"
"6234.18","116.476","Client StartStream event"
"6234.45","0.274","Engine Speak start"
"6241.18","6.7267","Engine audio data written, 113.44 ms / 3630 bytes silence skipped"
"6956.24","715.061","Engine Speak end"
"7454.72","498.484","Client EndStream event"
"7476.31","21.5897","Client Speak end"
